year,origin_fips,origin_state,origin_state_name,origin_type,dest_fips,dest_state,dest_state_name,dest_type,irs_returns_out,irs_returns_in,irs_individuals_out,irs_individuals_in,irs_agi_out,irs_agi_in,acs_migrants,acs_moe,acs_moe_pct,acs_reliable
2011,13,GA,Georgia,state,19,IA,Iowa,state,,,,,,,950,528,0.5558,False
2011,13,GA,Georgia,state,16,ID,Idaho,state,,,,,,,126,139,1.1032,False
2011,13,GA,Georgia,state,17,IL,Illinois,state,,,,,,,6080,1774,0.2918,True
2011,13,GA,Georgia,state,18,IN,Indiana,state,,,,,,,2442,1297,0.5311,False
2011,13,GA,Georgia,state,US-ISL,ISL,U.S. Island Areas,territory,,,,,,,992,1218,1.2278,False
2011,13,GA,Georgia,state,20,KS,Kansas,state,,,,,,,4513,2909,0.6446,False
2011,13,GA,Georgia,state,21,KY,Kentucky,state,,,,,,,3686,1708,0.4634,True
2011,13,GA,Georgia,state,22,LA,Louisiana,state,,,,,,,6541,3121,0.4771,True
2011,13,GA,Georgia,state,25,MA,Massachusetts,state,,,,,,,4436,1979,0.4461,True
2011,13,GA,Georgia,state,24,MD,Maryland,state,,,,,,,3708,1807,0.4873,True
2011,13,GA,Georgia,state,23,ME,Maine,state,,,,,,,408,269,0.6593,False
2011,13,GA,Georgia,state,26,MI,Michigan,state,,,,,,,6992,2441,0.3491,True
2011,13,GA,Georgia,state,27,MN,Minnesota,state,,,,,,,1808,1416,0.7832,False
2011,13,GA,Georgia,state,29,MO,Missouri,state,,,,,,,2514,989,0.3934,True
2011,13,GA,Georgia,state,28,MS,Mississippi,state,,,,,,,5380,3077,0.5719,False
2011,13,GA,Georgia,state,30,MT,Montana,state,,,,,,,246,211,0.8577,False
2011,13,GA,Georgia,state,37,NC,North Carolina,state,,,,,,,19138,3931,0.2054,True
2011,13,GA,Georgia,state,38,ND,North Dakota,state,,,,,,,201,221,1.0995,False
2011,13,GA,Georgia,state,31,NE,Nebraska,state,,,,,,,4144,3300,0.7963,False
2011,13,GA,Georgia,state,33,NH,New Hampshire,state,,,,,,,132,150,1.1364,False
2011,13,GA,Georgia,state,34,NJ,New Jersey,state,,,,,,,8371,3016,0.3603,True
2011,13,GA,Georgia,state,35,NM,New Mexico,state,,,,,,,791,421,0.5322,False
2011,13,GA,Georgia,state,32,NV,Nevada,state,,,,,,,774,559,0.7222,False
2011,13,GA,Georgia,state,36,NY,New York,state,,,,,,,14454,4681,0.3239,True
2011,13,GA,Georgia,state,39,OH,Ohio,state,,,,,,,6863,1986,0.2894,True
2011,13,GA,Georgia,state,40,OK,Oklahoma,state,,,,,,,1632,1107,0.6783,False
2011,13,GA,Georgia,state,41,OR,Oregon,state,,,,,,,727,472,0.6492,False
2011,13,GA,Georgia,state,42,PA,Pennsylvania,state,,,,,,,5791,1896,0.3274,True
2011,13,GA,Georgia,state,72,PR,Puerto Rico,territory,,,,,,,1635,841,0.5144,False
2011,13,GA,Georgia,state,44,RI,Rhode Island,state,,,,,,,337,504,1.4955,False
2011,13,GA,Georgia,state,45,SC,South Carolina,state,,,,,,,16914,5257,0.3108,True
2011,13,GA,Georgia,state,46,SD,South Dakota,state,,,,,,,536,730,1.3619,False
2011,13,GA,Georgia,state,47,TN,Tennessee,state,,,,,,,16898,3610,0.2136,True
2011,13,GA,Georgia,state,48,TX,Texas,state,,,,,,,15760,3421,0.2171,True
2011,13,GA,Georgia,state,49,UT,Utah,state,,,,,,,793,1061,1.338,False
2011,13,GA,Georgia,state,51,VA,Virginia,state,,,,,,,9438,3336,0.3535,True
2011,13,GA,Georgia,state,50,VT,Vermont,state,,,,,,,361,334,0.9252,False
2011,13,GA,Georgia,state,53,WA,Washington,state,,,,,,,3701,1532,0.4139,True
2011,13,GA,Georgia,state,55,WI,Wisconsin,state,,,,,,,2727,1401,0.5138,False
2011,13,GA,Georgia,state,54,WV,West Virginia,state,,,,,,,1340,778,0.5806,False
2011,13,GA,Georgia,state,56,WY,Wyoming,state,,,,,,,504,775,1.5377,False
2011,15,HI,Hawaii,state,02,AK,Alaska,state,,,,,,,844,670,0.7938,False
2011,15,HI,Hawaii,state,01,AL,Alabama,state,,,,,,,1268,846,0.6672,False
2011,15,HI,Hawaii,state,05,AR,Arkansas,state,,,,,,,242,260,1.0744,False
2011,15,HI,Hawaii,state,04,AZ,Arizona,state,,,,,,,2900,1208,0.4166,True
2011,15,HI,Hawaii,state,06,CA,California,state,,,,,,,10173,2201,0.2164,True
2011,15,HI,Hawaii,state,08,CO,Colorado,state,,,,,,,950,493,0.5189,False
2011,15,HI,Hawaii,state,09,CT,Connecticut,state,,,,,,,731,739,1.0109,False
2011,15,HI,Hawaii,state,11,DC,District of Columbia,dc,,,,,,,222,275,1.2387,False
2011,15,HI,Hawaii,state,10,DE,Delaware,state,,,,,,,784,877,1.1186,False
2011,15,HI,Hawaii,state,12,FL,Florida,state,,,,,,,3160,1311,0.4149,True
